date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-10-08,TLNC,9.935,9.935,9.8701,9.9,9.9,3298,0.0,1.0
2025-10-09,TLNC,10.0,10.0499,9.93,9.94,9.94,345461,0.0,1.0
2025-10-10,TLNC,9.97,9.97,9.91,9.93,9.93,89467,0.0,1.0
2025-10-13,TLNC,9.93,9.95,9.93,9.945,9.945,32440,0.0,1.0
2025-10-14,TLNC,9.94,9.98,9.94,9.9705,9.9705,33138,0.0,1.0
2025-10-15,TLNC,9.95,10.04,9.95,9.97,9.97,71769,0.0,1.0
2025-10-16,TLNC,9.9645,10.005,9.9601,9.985,9.985,17569,0.0,1.0
2025-10-17,TLNC,9.95,10.03,9.94,9.99,9.99,2686,0.0,1.0
2025-10-20,TLNC,9.99,9.99,9.96,9.98,9.98,13022,0.0,1.0
2025-10-21,TLNC,9.98,10.01,9.96,10.0,10.0,38976,0.0,1.0
2025-10-22,TLNC,10.01,10.04,9.99,9.995,9.995,10247,0.0,1.0
2025-10-23,TLNC,9.99,10.0,9.99,10.0,10.0,12846,0.0,1.0
2025-10-24,TLNC,10.01,10.03,10.0,10.0,10.0,1710,0.0,1.0
2025-10-27,TLNC,10.0,10.0,10.0,10.0,10.0,154,0.0,1.0
2025-10-28,TLNC,10.0,10.0,10.0,10.0,10.0,4218,0.0,1.0
2025-10-29,TLNC,10.0,10.005,9.99,9.995,9.995,102879,0.0,1.0
2025-10-30,TLNC,10.0,10.02,10.0,10.02,10.02,32541,0.0,1.0
2025-10-31,TLNC,10.03,10.05,10.03,10.05,10.05,7343,0.0,1.0
2025-11-03,TLNC,10.0301,10.07,10.03,10.07,10.07,8055,0.0,1.0
2025-11-04,TLNC,10.03,10.18,10.0,10.09,10.09,621786,0.0,1.0
2025-11-05,TLNC,10.085,10.12,10.085,10.12,10.12,34995,0.0,1.0
2025-11-06,TLNC,10.12,10.12,10.12,10.12,10.12,63,0.0,1.0
2025-11-07,TLNC,10.105,10.105,10.0904,10.0904,10.0904,415,0.0,1.0
2025-11-10,TLNC,10.09,10.09,10.09,10.09,10.09,142,0.0,1.0
2025-11-11,TLNC,10.1,10.1,10.1,10.1,10.1,9655,0.0,1.0
2025-11-12,TLNC,10.1,10.12,10.1,10.12,10.12,338,0.0,1.0
2025-11-13,TLNC,10.0,10.12,10.0,10.1,10.1,993,0.0,1.0
2025-11-14,TLNC,10.09,10.12,10.09,10.12,10.12,1788,0.0,1.0
2025-11-17,TLNC,10.12,10.12,10.09,10.09,10.09,4441,0.0,1.0
2025-11-18,TLNC,10.08,10.13,10.08,10.13,10.13,10408,0.0,1.0
2025-11-19,TLNC,10.12,10.13,10.12,10.13,10.13,332,0.0,1.0
2025-11-20,TLNC,10.13,10.14,10.08,10.08,10.08,7555,0.0,1.0
2025-11-21,TLNC,10.08,10.12,10.08,10.11,10.11,13041,0.0,1.0
2025-11-24,TLNC,10.12,10.15,10.12,10.15,10.15,1556,0.0,1.0
2025-11-25,TLNC,10.15,10.15,10.15,10.15,10.15,137,0.0,1.0
2025-11-26,TLNC,10.13,10.14,10.13,10.14,10.14,793,0.0,1.0
2025-11-28,TLNC,10.14,10.14,10.14,10.14,10.14,187,0.0,1.0
2025-12-01,TLNC,10.12,10.14,10.12,10.14,10.14,25333,0.0,1.0
2025-12-02,TLNC,10.1,10.14,10.1,10.13,10.13,23915,0.0,1.0
2025-12-03,TLNC,10.15,10.15,10.11,10.15,10.15,30474,0.0,1.0
2025-12-04,TLNC,10.11,10.15,10.11,10.15,10.15,368,0.0,1.0
2025-12-05,TLNC,10.15,10.15,10.15,10.15,10.15,0,0.0,1.0
2025-12-08,TLNC,10.1,10.15,10.1,10.14,10.14,439,0.0,1.0
2025-12-09,TLNC,10.14,10.14,10.14,10.14,10.14,136,0.0,1.0
2025-12-10,TLNC,10.1,10.14,10.1,10.14,10.14,592,0.0,1.0
2025-12-11,TLNC,10.14,10.14,10.14,10.14,10.14,163,0.0,1.0
2025-12-12,TLNC,10.1005,10.1005,10.1,10.1,10.1,648,0.0,1.0
2025-12-15,TLNC,10.1,10.101,10.1,10.1,10.1,1774,0.0,1.0
2025-12-16,TLNC,10.14,10.14,10.1,10.14,10.14,10135,0.0,1.0
2025-12-17,TLNC,10.1004,10.13,10.0962,10.13,10.13,3039,0.0,1.0
2025-12-18,TLNC,10.13,10.13,10.13,10.13,10.13,2,0.0,1.0
2025-12-19,TLNC,10.13,10.13,10.13,10.13,10.13,221,0.0,1.0
2025-12-22,TLNC,10.09,10.11,10.09,10.1,10.1,1171,0.0,1.0
2025-12-23,TLNC,10.1,10.11,10.08,10.08,10.08,1609,0.0,1.0
2025-12-24,TLNC,10.11,10.11,10.11,10.11,10.11,150,0.0,1.0
2025-12-26,TLNC,10.11,10.11,10.11,10.11,10.11,38,0.0,1.0
